学校名称_中文,学校名称_英文,省份,排名,学校地址,学校网址
中国医科大学,China Medical University (Shenyang),辽宁,医7,"辽宁省沈阳市沈北新区蒲河路77号
",https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6
中国地质大学（北京）,China University of Geosciences (Beijing),北京,71,"北京市海淀区学院路29号
", https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E5%9C%B0%E8%B4%A8%E5%A4%A7%E5%AD%A6%EF%BC%88%E5%8C%97%E4%BA%AC%EF%BC%89
西南大学,Southwest University,重庆,72,"重庆市天生路2号
",西南大学 https://baike.baidu.com/item/%E8%A5%BF%E5%8D%97%E5%A4%A7%E5%AD%A6
福州大学,Fuzhou University,福建,73,"福建省福州市福州地区大学新区学园路2号
",https://baike.baidu.com/item/%E7%A6%8F%E5%B7%9E%E5%A4%A7%E5%AD%A6
西北农林科技大学,Northwest A&F University,陕西,74,"陕西省咸阳市杨凌示范区邰城路3号
",https://baike.baidu.com/item/%E8%A5%BF%E5%8C%97%E5%86%9C%E6%9E%97%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6
华北电力大学,North China Electric Power University,北京,75,"北京市昌平区回龙观街道北农路2号
",https://baike.baidu.com/item/%E5%8D%8E%E5%8C%97%E7%94%B5%E5%8A%9B%E5%A4%A7%E5%AD%A6
中国矿业大学（北京）,China University of Mining and Technology - Beijing,北京,76,"北京市海淀区学院路丁11号
",https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E7%9F%BF%E4%B8%9A%E5%A4%A7%E5%AD%A6%EF%BC%88%E5%8C%97%E4%BA%AC%EF%BC%89
东华大学,Donghua University,上海,77,"上海市延安西路1882号
",https://baike.baidu.com/item/%E4%B8%9C%E5%8D%8E%E5%A4%A7%E5%AD%A6
江苏大学,Jiangsu University,江苏,78,"江苏省镇江市京口区象山街道学府路301号
",https://baike.baidu.com/item/%E6%B1%9F%E8%8B%8F%E5%A4%A7%E5%AD%A6
华南师范大学,South China Normal University,广东,79,"广东省广州市中山大道西55号
",https://baike.baidu.com/item/%E5%8D%8E%E5%8D%97%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
云南大学,Yunnan University,云南,80,"云南省昆明市呈贡区大学城东外环南路 
",https://baike.baidu.com/item/%E4%BA%91%E5%8D%97%E5%A4%A7%E5%AD%A6
北京外国语大学,Beijing Foreign Studies University,北京,语1,"北京市海淀区西三环北路2号
",https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%A4%96%E5%9B%BD%E8%AF%AD%E5%A4%A7%E5%AD%A6
扬州大学,Yangzhou University,江苏,81,"江苏省扬州市大学南路
",https://baike.baidu.com/item/%E6%89%AC%E5%B7%9E%E5%A4%A7%E5%AD%A6
北京林业大学,Beijing Forestry University,北京,82,"中国北京市海淀区清华东路35号
",https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E6%9E%97%E4%B8%9A%E5%A4%A7%E5%AD%A6
